ITEM_SEQ,INGR_CODE,INGR_NAME,QNT,INGD_UNIT_CD
202300511,D000145,"클로르페니라민말레산염",,"밀리그램"
202300519,D000650,"수마트립탄숙신산염",,"밀리그램"
202300520,D000010,"반코마이신염산염",,"그램"
202300522,D000671,"글루콘산칼슘수화물",,"밀리그램"
202300522,D000147,"산화마그네슘",,"밀리그램"
202300530,D001241,"알리로쿠맙",150,"밀리그램"
202300533,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300533,D000244,"시타글립틴인산염수화물",,"밀리그램"
202300554,D000366,"젬시타빈염산염",,"밀리그램"
202300577,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300577,D000718,"메트포르민염산염",,"밀리그램"
202300578,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300578,D000718,"메트포르민염산염",,"밀리그램"
202300579,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300579,D000718,"메트포르민염산염",,"밀리그램"
202300581,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300581,D000718,"메트포르민염산염",,"밀리그램"
202300582,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300582,D000718,"메트포르민염산염",,"밀리그램"
202300583,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300583,D000718,"메트포르민염산염",,"밀리그램"
202300584,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300584,D000718,"메트포르민염산염",,"밀리그램"
202300585,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300585,D000718,"메트포르민염산염",,"밀리그램"
202300586,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300586,D000718,"메트포르민염산염",,"밀리그램"
202300587,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300587,D000718,"메트포르민염산염",,"밀리그램"
202300588,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300588,D000718,"메트포르민염산염",,"밀리그램"
202300589,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300589,D000718,"메트포르민염산염",,"밀리그램"
202300590,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300590,D000718,"메트포르민염산염",,"밀리그램"
202300591,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300591,D000718,"메트포르민염산염",,"밀리그램"
202300592,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300592,D000718,"메트포르민염산염",,"밀리그램"
202300593,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300593,D000718,"메트포르민염산염",,"밀리그램"
202300594,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300594,D000718,"메트포르민염산염",,"밀리그램"
202300595,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300595,D000718,"메트포르민염산염",,"밀리그램"
202300596,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300596,D000718,"메트포르민염산염",,"밀리그램"
202300597,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300597,D000718,"메트포르민염산염",,"밀리그램"
202300598,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300598,D000718,"메트포르민염산염",,"밀리그램"
202300599,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300599,D000718,"메트포르민염산염",,"밀리그램"
202300600,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300600,D000718,"메트포르민염산염",,"밀리그램"
202300601,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300601,D000718,"메트포르민염산염",,"밀리그램"
202300602,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300602,D000718,"메트포르민염산염",,"밀리그램"
202300603,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300603,D000718,"메트포르민염산염",,"밀리그램"
202300604,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300604,D000718,"메트포르민염산염",,"밀리그램"
202300606,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300606,D000718,"메트포르민염산염",,"밀리그램"
202300607,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300607,D000718,"메트포르민염산염",,"밀리그램"
202300608,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300608,D000718,"메트포르민염산염",,"밀리그램"
202300609,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300609,D000718,"메트포르민염산염",,"밀리그램"
202300610,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300610,D000718,"메트포르민염산염",,"밀리그램"
202300611,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300611,D000718,"메트포르민염산염",,"밀리그램"
202300612,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300612,D000718,"메트포르민염산염",,"밀리그램"
202300613,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300613,D000718,"메트포르민염산염",,"밀리그램"
202300614,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300614,D000718,"메트포르민염산염",,"밀리그램"
202300615,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300615,D000718,"메트포르민염산염",,"밀리그램"
202300616,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300616,D000718,"메트포르민염산염",,"밀리그램"
202300617,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300617,D000718,"메트포르민염산염",,"밀리그램"
202300631,D001617,"L-알라닌",,"밀리그램"
202300632,D000134,"아세트아미노펜",,"그램"
202300634,D000145,"클로르페니라민말레산염",,"밀리그램"
202300634,D000316,"슈도에페드린염산염",,"밀리그램"
202300634,D000134,"아세트아미노펜",,"밀리그램"
202300635,D000305,"프라바스타틴나트륨",40,"밀리그램"
202300635,D000686,"페노피브레이트",160,"밀리그램"
202300636,D000748,"에스트라디올발레레이트",,"밀리그램"
202300641,D001091,"옥시메타졸린염산염",,"그램"
202300641,D000145,"클로르페니라민말레산염",,"그램"
202300643,D000145,"클로르페니라민말레산염",,"밀리그램"
202300643,D000092,"DL-메틸에페드린염산염",,"밀리그램"
202300644,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300644,D000244,"시타글립틴인산염수화물",,"밀리그램"
202300661,D001495,"우르소데옥시콜산",,"밀리그램"
202300661,D000658,"콜레칼시페롤농축분말",,"밀리그램"
202300661,D000147,"산화마그네슘",,"밀리그램"
202300661,D001098,"리보플라빈",,"밀리그램"
202300661,D001521,"피리독신염산염",,"밀리그램"
202300661,D001377,"벤포티아민",,"밀리그램"
202300662,D000671,"탄산수소나트륨",,"밀리그램"
202300663,D000671,"탄산수소나트륨",,"밀리그램"
202300664,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300664,D000392,"글리메피리드",,"밀리그램"
202300668,D000134,"아세트아미노펜",,"밀리그램"
202300668,D000092,"구아이페네신",,"밀리그램"
202300668,D000316,"슈도에페드린염산염",,"밀리그램"
202300668,D000493,"덱스트로메토르판브롬화수소산염수화물",,"밀리그램"
202300668,D000145,"클로르페니라민말레산염",,"밀리그램"
202300669,D000147,"산화마그네슘",,"밀리그램"
202300669,D001377,"벤포티아민",,"밀리그램"
202300669,D001098,"리보플라빈",,"밀리그램"
202300669,D001521,"니코틴산아미드",,"밀리그램"
202300670,D000134,"아세트아미노펜",,"밀리그램"
202300670,D000316,"슈도에페드린염산염",,"밀리그램"
202300670,D000092,"dl-메틸에페드린염산염",,"밀리그램"
202300670,D000493,"덱스트로메토르판브롬화수소산염수화물",,"밀리그램"
202300670,D000145,"클로르페니라민말레산염",,"밀리그램"
202300697,D000579,"티오테파",,"밀리그램"
202300707,D000147,"산화마그네슘",,"밀리그램"
202300707,D001377,"벤포티아민",,"밀리그램"
202300707,D001521,"피리독신염산염",,"밀리그램"
202300707,D001098,"리보플라빈",,"밀리그램"
202300708,D000709,"l-멘톨",3.5,"그램"
202300708,D000493,"디펜히드라민",1.0,"그램"
202300715,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300715,D000392,"글리메피리드",,"밀리그램"
202300716,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300716,D000392,"글리메피리드",,"밀리그램"
202300717,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300717,D000392,"글리메피리드",,"밀리그램"
202300719,D000147,"산화마그네슘",,"밀리그램"
202300719,D001377,"벤포티아민",,"밀리그램"
202300719,D000363,"티아민질산염",,"밀리그램"
202300719,D001521,"피리독신염산염",,"밀리그램"
202300720,D000624,"피마사르탄칼륨삼수화물과립",,"밀리그램"
202300720,D000455,"아토르바스타틴칼슘삼수화물",,"밀리그램"
202300721,D000624,"피마사르탄칼륨삼수화물과립",,"밀리그램"
202300721,D000455,"아토르바스타틴칼슘삼수화물",,"밀리그램"
202300722,D001367,"테고프라잔",,"밀리그램"
202300724,D001615,"파모티딘",,"밀리그램"
202300729,D001377,"벤포티아민",,"밀리그램"
202300729,D001495,"우르소데옥시콜산",,"밀리그램"
202300729,D001521,"니코틴산아미드",,"밀리그램"
202300729,D001098,"리보플라빈부티레이트",,"밀리그램"
202300752,D001503,"글리세린",,"밀리그램"
202300755,D001377,"벤포티아민",,"밀리그램"
202300755,D000658,"콜레칼시페롤농축분말",,"밀리그램"
202300755,D000147,"산화마그네슘",,"밀리그램"
202300755,D001495,"우르소데옥시콜산",,"밀리그램"
202300755,D001098,"리보플라빈",,"밀리그램"
202300755,D001521,"니코틴산아미드",,"밀리그램"
202300758,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300758,D000718,"메트포르민염산염",,"밀리그램"
202300759,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300759,D000718,"메트포르민염산염",,"밀리그램"
202300760,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300760,D000718,"메트포르민염산염",,"밀리그램"
202300770,D000363,"이부프로펜",,"밀리그램"
202300774,D000219,"로수바스타틴칼슘",,"밀리그램"
202300780,D000617,"레보노르게스트렐",,"밀리그램"
202300780,D000749,"에티닐에스트라디올",,"밀리그램"
202300781,D000617,"레보노르게스트렐",,"밀리그램"
202300781,D000749,"에티닐에스트라디올",,"밀리그램"
202300782,D000617,"레보노르게스트렐",,"밀리그램"
202300782,D000749,"에티닐에스트라디올",,"밀리그램"
202300796,D000134,"아세트아미노펜",,"밀리그램"
202300796,D000316,"슈도에페드린염산염",,"밀리그램"
202300796,D000145,"클로르페니라민말레산염",,"밀리그램"
202300827,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300827,D001008,"에보글립틴타르타르산염",,"밀리그램"
202300828,D000219,"로수바스타틴칼슘",,"밀리그램"
202300829,D000219,"로수바스타틴칼슘(미분화)",,"밀리그램"
202300829,D000350,"에제티미브",,"밀리그램"
202300830,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300830,D000718,"메트포르민염산염",,"밀리그램"
202300831,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300831,D000718,"메트포르민염산염",,"밀리그램"
202300832,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300832,D000718,"메트포르민염산염",,"밀리그램"
202300833,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300833,D000718,"메트포르민염산염",,"밀리그램"
202300834,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300834,D000718,"메트포르민염산염",,"밀리그램"
202300835,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300835,D000718,"메트포르민염산염",,"밀리그램"
202300836,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300836,D000718,"메트포르민염산염",,"밀리그램"
202300837,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300837,D000718,"메트포르민염산염",,"밀리그램"
202300838,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300838,D000718,"메트포르민염산염",,"밀리그램"
202300839,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300839,D000718,"메트포르민염산염",,"밀리그램"
202300840,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300840,D000718,"메트포르민염산염",,"밀리그램"
202300841,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300841,D000718,"메트포르민염산염",,"밀리그램"
202300842,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300842,D000718,"메트포르민염산염",,"밀리그램"
202300843,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300843,D000718,"메트포르민염산염",,"밀리그램"
202300844,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300844,D000718,"메트포르민염산염",,"밀리그램"
202300845,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300845,D000718,"메트포르민염산염",,"밀리그램"
202300846,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300846,D000718,"메트포르민염산염",,"밀리그램"
202300847,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300847,D000718,"메트포르민염산염",,"밀리그램"
202300848,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300848,D000718,"메트포르민염산염",,"밀리그램"
202300849,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300849,D000718,"메트포르민염산염",,"밀리그램"
202300850,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300850,D000718,"메트포르민염산염",,"밀리그램"
202300851,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300851,D000718,"메트포르민염산염",,"밀리그램"
202300852,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300852,D000718,"메트포르민염산염",,"밀리그램"
202300853,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300853,D000718,"메트포르민염산염",,"밀리그램"
202300854,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300854,D000718,"메트포르민염산염",,"밀리그램"
202300855,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300855,D000718,"메트포르민염산염",,"밀리그램"
202300856,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300856,D000718,"메트포르민염산염",,"밀리그램"
202300857,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300857,D000718,"메트포르민염산염",,"밀리그램"
202300858,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300858,D000718,"메트포르민염산염",,"밀리그램"
202300859,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300859,D000718,"메트포르민염산염",,"밀리그램"
202300860,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300860,D000718,"메트포르민염산염",,"밀리그램"
202300861,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300861,D000718,"메트포르민염산염",,"밀리그램"
202300862,D000244,"시타글립틴염산염수화물",,"밀리그램"
202300862,D000718,"메트포르민염산염",,"밀리그램"
202300884,D001764,"바다두스타트",,"밀리그램"
202300885,D001764,"바다두스타트",,"밀리그램"
202300907,D000134,"아세트아미노펜",,"밀리그램"
202300907,D000145,"클로르페니라민말레산염",,"밀리그램"
202300907,D000092,"구아이페네신",,"밀리그램"
202300907,D000493,"덱스트로메토르판브롬화수소산염수화물",,"밀리그램"
202300907,D000316,"슈도에페드린염산염",,"밀리그램"
202300908,D000134,"아세트아미노펜",200.00,"밀리그램"
202300908,D000092,"구아이페네신",28.00,"밀리그램"
202300908,D000316,"슈도에페드린염산염",15.00,"밀리그램"
202300908,D000493,"덱스트로메토르판브롬화수소산염수화물",8.00,"밀리그램"
202300908,D000145,"클로르페니라민말레산염",1.25,"밀리그램"
202300908,D000363,"티아민질산염",4.00,"밀리그램"
202300908,D001098,"리보플라빈",2.00,"밀리그램"
202300909,D000134,"아세트아미노펜",,"밀리그램"
202300909,D000092,"구아이페네신",,"밀리그램"
202300909,D000316,"슈도에페드린염산염",,"밀리그램"
202300909,D000493,"덱스트로메토르판브롬화수소산염수화물",,"밀리그램"
202300909,D000145,"클로르페니라민말레산염",,"밀리그램"
202300910,D000244,"시타글립틴인산염수화물",,"밀리그램"
202300910,D000692,"다파글리플로진프로판디올수화물",,"밀리그램"
202300911,D001521,"피리독신염산염",,"밀리그램"
202300922,D000363,"티아민질산염",,"밀리그램"
202300922,D001098,"리보플라빈포스페이트나트륨",,"밀리그램"
202300922,D001521,"피리독신염산염",,"밀리그램"
202300922,D000747,"카페인무수물",,"밀리그램"
202300925,D001419,"테노포비르알라페나미드헤미말산염",,"밀리그램"
